station,type,from_line,to_line,minutes,raw
Abbey Road,gate_to_platform,,,,1 minute
Acton Central,gate_to_platform,,,,2 minutes
Acton Town,gate_to_platform,,,,1 minute
Acton Town,interchange,District <> Piccadilly line,,2,
Aldgate,gate_to_platform,,,,2 minutes
Aldgate,interchange,Connections between Circle and Metropolitan line trains,,4,
Aldgate East,gate_to_platform,,,,1 minute
Aldgate East,interchange,Connections between District and Hammersmith & City line trains,,2,
All Saints,gate_to_platform,,,,1 minute
Alperton,gate_to_platform,,,,1 minute
Amersham,gate_to_platform,,,,2 minutes
Amersham,interchange,Connections between Metropolitan and Chiltern Railways,,3,
Anerley,gate_to_platform,London Overground,,3,
Anerley,gate_to_platform,Southern,,3,
Anerley,interchange,Connections between London Overground and Southern,,4,
Anerley,interchange,Connections between London Overground and Southern,,4,
Angel,gate_to_platform,,,,2 minutes
Archway,gate_to_platform,,,,2 minutes
Arnos Grove,gate_to_platform,,,,2 minutes
Arsenal,gate_to_platform,,,,3 minutes
Baker Street,gate_to_platform,Bakerloo,,7,
Baker Street,gate_to_platform,Jubilee,,7,
Baker Street,gate_to_platform,Circle,,4,
Baker Street,gate_to_platform,Hammersmith & City,,4,
Baker Street,gate_to_platform,Metropolitan,,4,
Baker Street,interchange,Bakerloo,Circle,8,
Baker Street,interchange,Bakerloo,Hammersmith & City,8,
Baker Street,interchange,Bakerloo,Jubilee,2,
Baker Street,interchange,Bakerloo,Metropolitan,3,
Baker Street,interchange,Circle,Hammersmith & City,2,
Baker Street,interchange,Circle,Jubilee,8,
Baker Street,interchange,Circle,Metropolitan,8,
Baker Street,interchange,Hammersmith & City,Jubilee,8,
Baker Street,interchange,Hammersmith & City,Metropolitan,5,
Baker Street,interchange,Jubilee,Metropolitan,3,
Balham,gate_to_platform,Northern,,2,
Balham,gate_to_platform,Southern,,2,
Balham,interchange,Northern,National Rail,8,
Balham,interchange,Northern,National Rail,8,
"Bank, including Monument interchange values",gate_to_platform,Central,,35,
"Bank, including Monument interchange values",gate_to_platform,DLR,,45,
"Bank, including Monument interchange values",gate_to_platform,Northern,,55,
"Bank, including Monument interchange values",gate_to_platform,Waterloo & City,,3,
"Bank, including Monument interchange values",interchange,Central,Circle,7,
"Bank, including Monument interchange values",interchange,Central,District,7,
"Bank, including Monument interchange values",interchange,Central,DLR,3,
"Bank, including Monument interchange values",interchange,Central,Northern,4,
"Bank, including Monument interchange values",interchange,Central,Waterloo & City,45,
"Bank, including Monument interchange values",interchange,Circle,DLR,4,
"Bank, including Monument interchange values",interchange,Circle,Northern,4,
"Bank, including Monument interchange values",interchange,Circle,Waterloo & City,10,
"Bank, including Monument interchange values",interchange,District,DLR,4,
"Bank, including Monument interchange values",interchange,District,Northern,4,
"Bank, including Monument interchange values",interchange,District,Waterloo & City,10,
"Bank, including Monument interchange values",interchange,DLR,Northern,3,
"Bank, including Monument interchange values",interchange,DLR,Waterloo & City,6,
"Bank, including Monument interchange values",interchange,Northern,Waterloo & City,7,
Barbican,gate_to_platform,,,,1 minute
Barbican,gate_to_platform,,,,1 minute
Barbican,gate_to_platform,,,,1 minute
Barbican,interchange,Circle,Hammersmith & City,2,
Barbican,interchange,Circle,Metropolitan,2,
Barbican,interchange,Hammersmith & City,Metropolitan,2,
Barking,gate_to_platform,District,,2,
Barking,gate_to_platform,Hammersmith & City,,2,
Barking,gate_to_platform,National Rail (c2c),,2,
Barking,gate_to_platform,London Overground,,2,
Barking,interchange,District,c2c,4,
Barking,interchange,District,Hammersmith & City,4,
Barking,interchange,District,London Overground,4,
Barking,interchange,C2C,Hammersmith & City,4,
Barking,interchange,C2C,London Overground,4,
Barking,interchange,London Overground,Hammersmith & City,4,
Barkingside,gate_to_platform,,,,2 minutes
Barons Court,gate_to_platform,,,,2 minutes
Barons Court,interchange,Connections between District and Piccadilly line trains,,4,
Bayswater,gate_to_platform,,,,2 minutes
Bayswater,interchange,Connections between Circle and District line trains,,4,
Beckton,gate_to_platform,,,,2 minutes
Beckton Park,gate_to_platform,,,,2 minutes
Becontree,gate_to_platform,,,,2 minutes
Belsize Park,gate_to_platform,,,,5 minutes
Bermondsey,gate_to_platform,,,,3 minutes
"Bethnal Green, London Underground",gate_to_platform,,,,2 minutes
Blackfriars,gate_to_platform,,,,Underground station closed – to be reassessed on reopening
Blackhorse Road,gate_to_platform,London Overground,,3,
Blackhorse Road,gate_to_platform,Victoria,,3,
Blackhorse Road,interchange,London Overground,Victoria,6,
Blackhorse Road,interchange,London Overground,Victoria,6,
Blackwall,gate_to_platform,,,,2 minutes
Bond Street,gate_to_platform,Central,,4,
Bond Street,gate_to_platform,Jubilee,,4,
Bond Street,interchange,Central,Jubilee,4,
Bond Street,interchange,Central,Jubilee,4,
Borough,gate_to_platform,,,,3 minutes
Boston Manor,gate_to_platform,,,,1 minute
Bounds Green,gate_to_platform,,,,2 minutes
Bow Church,gate_to_platform,,,,2 minutes
Bow Church,interchange,,,,Step-free access via lift (one on each platform)
Bow Road,gate_to_platform,,,,1 minute
Bow Road,interchange,District,Hammersmith & City,2,
